Empire,Origin,Capital,From,To,Duration,Note
Achaemenid Empire,Iran,"Various, including Pasargadae, Ecbatana, Persepolis, Susa, Babylon",550 BC,330 BC,220,"The first Persian empire, and the largest one in classical antiquity, founded by Cyrus the Great."
Afsharid Dynasty,Iran,Mashhad,1736,1796,60,"Founded by Nader Shah, at its peak expanded Persia as far west as Baghdad, and as far east as Delhi."
Abbasid Caliphate,Iraq,"Baghdad, Raqqa, Kufa, Samarra, Anbar",750,1258,508,Successor of the Umayyad Caliphate.
Ahom Dynasty,North East India,"Charaideo, Garhgaon, Rangpur (Ahom capital), Jorhat",1228,1838,610,It is well known for maintaining its sovereignty for nearly 600 years and successfully resisting Mughal expansion in Northeast India.
Akkadian Empire,Sumer,Akkad,2300 BC,2200 BC,100,The Second Empire On The Earth.
Aksumite Empire,Ethiopia,Axum,150,940,790,Succeeded by the Ethiopian Empire.
Akwamu,West Africa,"Akwamufie, Nyanoase",1505,1867,362,
Almohad Caliphate,Morocco,"Marrakech, Seville",1121,1269,148,
Almoravid dynasty,Morocco,"Aghmat (1040–1062), Marrakech (1062–1147)",1040,1147,107,
Angevin Empire,"England, France",No official capital. Court was generally held at Angers and Chinon,1154,1242,88,
Armenian Empire,Armenia,Tigranakert,190 BC,428,618,Tigranes the Great took the title King of Kings.
Assyria,Mesopotamia,"Assur, later Nineveh",2025 BC,609 BC,1119,
Ashanti Empire,West Africa,Kumasi,1670,1902,232,
Austrian Empire,Austria,Vienna,1804,1867,63,Preceded by the Holy Roman Empire.
Austria-Hungary,"Austria, Hungary","Vienna, Budapest",1867,1918,51,"Often referred to as the ""Austro-Hungarian Empire"". Formed out of the Austrian Empire as a result of the Austro-Hungarian Compromise of 1867. Officially a real union of the rump Austrian Empire (Cisleithania) and the Lands of the Crown of Saint Stephen/Transleithania. Ruler was therefore referred to as Kaiser und König (""Emperor-King"", literally ""Emperor and King"")."
Ayyubid dynasty,Middle East,"Cairo, Damascus, Hama",1171,1341,170,"Founded by Saladin, See also List of Muslim states and dynasties."
Aztec Empire,Mesoamerica,Tenochtitlan,1428,1521,93,"The capital of Mexico, Mexico City, is built on the ruins of Tenochtitlan."
Babylonian Empire,Mesopotamia,Babylon,1900 BC,1600 BC,300,See also Neo-Babylonian Empire.
Balhae,"North Korea, Manchuria",Sanggyeong,698,926,228,Successor of Goguryeo.
Bamana Empire,West Africa,Ségou,1712,1861,149,Also known as the Bambara Empire or Ségou Empire
Belgian colonial empire,Belgium,Brussels,1901,1962,61,"Overseas possessions were referred to as ""the colonies"" rather than an empire."
Benin Empire,Nigeria,Benin City,1440,1897,457,
Kadamba dynasty,Karnataka,Banavasi,345,540,200,"The Kadambas (345–540 CE) were an ancient royal family of Karnataka, India, that ruled northern Karnataka and the Konkan from Banavasi in present-day Uttara Kannada district. The kingdom was founded by Mayurasharma in  345 C.E"
Bornu Empire,Nigeria,Ngazargamu,1387,1893,506,The continuation of the Kanem Empire.
Empire of Brazil,Brazil,Rio de Janeiro,1822,1889,67,Established after Pedro I of Brazil declared the independence of Brazil from Portugal.
Britannic Empire,Britain,Londinium,286,296,10,Was a break-away state of the Roman Empire. See also the Carausian Revolt.
British Empire,United Kingdom,London,1603,1997,394,The largest empire in world history. Precursor to the modern Commonwealth of Nations. Empire (though the word empire has fallen into disuse when describing British overseas possessions) still continues in the form of British Overseas Territories and Crown Dependencies. Her Majesty Queen Elizabeth II remains as sovereign. Some consider the handover of Hong Kong to the People's Republic of China on 1 July 1997 as the end of the British Empire.[1]
British Raj,Indian Subcontinent,"Calcutta (1858–1912), New Delhi (1912–1947)",1858,1947,89,Governed by the Crown and part of the British Empire. Queen Victoria was proclaimed Empress of India in 1876.
Bruneian Empire,Borneo,"Not specified, possibly Kota Batu",1368,1888,520,Lasted until it became a British protectorate in 1888.
First Bulgarian Empire,Balkans,"Pliska (680–893), Preslav (893–972), Skopie (972–992), Ohrid (992–1018)",680,1018,338,Founded by Khan Asparukh. Under Tsar Simeon I became the first powerful Slavic Empire. Falls to the Byzantine Empire under Emperor Basil II.
Second Bulgarian Empire,Balkans,Tarnovo,1185,1422,237,Successor of the First Bulgarian Empire. Under the Tsars Kaloyan and Ivan Asen II became the most powerful state in the Balkans.
Duchy of Burgundy,Western Europe,Dijon,1364,1477,113,Theorically vassal of France. Ruled a very large territory from Alps to North Sea.
Buyid dynasty,Persia,Shiraz,934,1055,121,
